Year,MakeModel,Reason
2015,GMC Yukon,Illegally Parked
2015,Kia Forte,Arrest
2015,GMC Yukon,Illegally Parked
2015,Mitsubishi Lancer,Arrest
2015,Harley-Davidson,Accident
2015,Chrysler 200,Accident
2015,Vespa,Stolen
2015,Nissan Altima,Accident
2015,Nissan Altima,Stolen
2015,Toyota Corolla,Accident
2015,Toyota Corolla,Accident
2015,Mitsubishi Lancer,Accident
2015,Buick Verano,Arrest
2015,Kia Rio,Accident
2015,Ford Fiesta,Accident
2015,Nissan Versa,Arrest
2015,Not Listed,Abandoned
2015,Dodge Ram 1500,Accident
2015,Dodge Dart,Accident
2015,Not Listed,Abandoned
2015,Cadillac SRX,Accident
2015,Mitsubishi Mirage,Illegally Parked
2015,Dodge Charger,Accident
2015,Mitsubishi Mirage,Arrest
2015,Nissan Versa,Illegally Parked
2015,Mitsubishi Mirage,Accident
2015,Audi allroad,Stolen
2015,Mazda CX-5,Stolen
2015,Chrysler 200,Abandoned
2016,Nissan Versa,Accident
2016,Nissan Altima,Accident
2016,Honda Accord,Accident
2016,Toyota Corolla,Stolen
2016,Kia Forte,Accident
2016,Tao Tao,Arrest
2016,Chrysler 200,Accident
2016,Ford Mustang,Accident
2016,Chevrolet Camaro,Accident
2016,Not Listed,Arrest
2016,Ford Fusion,Accident
2016,Mitsubishi,Accident
2016,Jeep Cherokee,Accident
2016,Ford Explorer,Stolen
2016,Chrysler 300,Accident
2016,Nissan Altima,Accident
2016,Hyundai Accent,Accident
2016,Volkswagen Tiguan,Stolen
2016,Ford Focus,Accident
2016,Tao Tao,Stolen
2017,Tao Tao,Accident
2017,Honda,Accident
2017,Not Listed,Stolen
2017,Toyota Corolla,Illegally Parked
2017,Mitsubishi,Accident
2017,GMC Sierra,Stolen
2017,Ford F250,Stolen
2017,Kia Sportage,Arrest
2017,Ford Fusion,Accident
2017,Not Listed,Accident
2017,Not Listed,Stolen
2017,Dodge Durango,Stolen
2017,Hyundai Elantra,Accident
2017,Not Listed,Stolen
2017,Dodge Ram 1500,Abandoned
2018,Ford F150,Abandoned
2018,Ford F150,Abandoned
2018,Trailer,Abandoned
2018,Volkswagen Jetta,Abandoned
