MakeModel,Year
OTHER-NOT IN LIST OTHER,1952
CHEVROLET OTHER,1961
SUZUKI OTHER,1970
CHEVROLET OTHER,1972
TRAILER-GENERIC TRAILER,1973
OTHER-NOT IN LIST OTHER,1973
GMC OTHER,1973
CHEVROLET CORVETTE,1974
INTERNATIONAL OTHER,1975
CHEVROLET UTILITY,1975
PONTIAC BONNEVILLE,1976
KAWASAKI OTHER,1976
GMC SIERRA,1977
OTHER-NOT IN LIST OTHER,1978
OTHER-NOT IN LIST OTHER,1978
FORD LTD,1978
LINCOLN CONTINENTL,1978
CHEVROLET OTHER,1978
YAMAHA OTHER,1978
CHEVROLET 10,1979
CHEVROLET CAMARO,1979
OTHER-NOT IN LIST OTHER,1979
